iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,WOA,poblacional,5441.5486305047725,5441.5486305047725,False,False,,,,,,,0,0,1,Llenando ventana
2,1,WOA,poblacional,4750.698540430821,4750.698540430821,False,False,,,,,,,0,0,2,Llenando ventana
3,1,WOA,poblacional,4603.966888056355,4603.966888056355,False,False,,,,,,,0,0,3,Llenando ventana
4,1,WOA,poblacional,4530.95653620822,4530.95653620822,False,False,,,,,,,0,0,4,Llenando ventana
5,1,WOA,poblacional,4517.493353441952,4517.493353441952,False,False,,,,,,,0,0,5,Llenando ventana
6,1,WOA,poblacional,4465.030384167994,4465.030384167994,False,False,,,,,,,0,0,6,Llenando ventana
7,1,WOA,poblacional,4426.727148219318,4426.727148219318,False,False,,,,,,,0,0,7,Llenando ventana
8,1,WOA,poblacional,4412.859667189366,4412.859667189366,False,False,,,,,,,0,0,8,Llenando ventana
9,1,WOA,poblacional,4408.923553718914,4408.923553718914,False,False,,,,,,,0,0,9,Llenando ventana
10,1,WOA,poblacional,4404.650400407216,4404.650400407216,False,False,,,,,,,0,0,10,Llenando ventana
11,1,WOA,poblacional,4401.828519893559,4401.828519893559,False,False,,,,,,,0,0,11,Llenando ventana
12,1,WOA,poblacional,4390.278736594088,4390.278736594088,False,False,,,,,,,0,0,12,Llenando ventana
13,1,WOA,poblacional,4374.91810171796,4374.91810171796,False,False,,,,,,,0,0,13,Llenando ventana
14,1,WOA,poblacional,4344.787490719169,4344.787490719169,False,False,,,,,,,0,0,14,Llenando ventana
15,1,WOA,poblacional,4331.70376549892,4331.70376549892,False,False,,,,,,,0,0,15,Llenando ventana
16,1,WOA,poblacional,4262.260753708135,4262.260753708135,False,False,,,,,,,0,0,16,Llenando ventana
17,1,WOA,poblacional,4223.732644934217,4223.732644934217,False,False,,,,,,,0,0,17,Llenando ventana
18,1,WOA,poblacional,4165.0532259972215,4165.0532259972215,False,False,,,,,,,0,0,18,Llenando ventana
19,1,WOA,poblacional,4148.41421233419,4148.41421233419,False,False,,,,,,,0,0,19,Llenando ventana
20,1,WOA,poblacional,4118.164184450986,4118.164184450986,False,False,,,,,,,0,0,20,Llenando ventana
21,1,WOA,poblacional,4013.1076817224503,4013.1076817224503,False,False,,,,,,,0,0,21,Llenando ventana
22,1,WOA,poblacional,3901.445878495665,3901.445878495665,False,False,,,,,,,0,0,22,Llenando ventana
23,1,WOA,poblacional,3890.669686561082,3890.669686561082,False,False,,,,,,,0,0,23,Llenando ventana
