iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,ACO,poblacional,4207.812149500154,7274.652046017532,False,False,,,,,,,0,0,1,Llenando ventana
2,1,ACO,poblacional,4207.812149500154,6421.309615870318,False,False,,,,,,,1,0,2,Llenando ventana
3,1,ACO,poblacional,4207.812149500154,5346.623223626737,False,False,,,,,,,2,0,3,Llenando ventana
4,1,ACO,poblacional,4207.812149500154,6705.933919808528,False,False,,,,,,,3,0,4,Llenando ventana
5,1,ACO,poblacional,4207.812149500154,5774.033243592887,False,False,,,,,,,4,0,5,Llenando ventana
6,1,ACO,poblacional,4207.812149500154,5605.9362861668615,False,False,,,,,,,5,0,6,Llenando ventana
7,1,ACO,poblacional,3543.3205772907954,3543.3205772907954,False,False,,,,,,,0,0,7,Llenando ventana
8,1,ACO,poblacional,3543.3205772907954,3695.1078326936613,False,False,,,,,,,1,0,8,Llenando ventana
9,1,ACO,poblacional,2724.765402187193,2724.765402187193,False,False,,,,,,,0,0,9,Llenando ventana
10,1,ACO,poblacional,2417.6103281513497,2417.6103281513497,False,False,,,,,,,0,0,10,Llenando ventana
11,1,ACO,poblacional,2417.6103281513497,2571.5618796585472,False,False,,,,,,,1,0,11,Llenando ventana
12,1,ACO,poblacional,2417.6103281513497,4257.85126043204,False,False,,,,,,,2,0,12,Llenando ventana
13,1,ACO,poblacional,2417.6103281513497,2730.7028127902013,False,False,,,,,,,3,0,13,Llenando ventana
14,1,ACO,poblacional,2417.6103281513497,2659.19666491292,False,False,,,,,,,4,0,14,Llenando ventana
15,1,ACO,poblacional,2417.6103281513497,2839.4517089546534,False,False,,,,,,,5,0,15,Llenando ventana
16,1,ACO,poblacional,1631.5188435246955,1631.5188435246955,False,False,,,,,,,0,0,16,Llenando ventana
17,1,ACO,poblacional,1439.572988502981,1439.572988502981,False,False,,,,,,,0,0,17,Llenando ventana
18,1,ACO,poblacional,1439.572988502981,1598.432109621394,False,False,,,,,,,1,0,18,Llenando ventana
19,1,ACO,poblacional,1439.572988502981,1967.6319300457692,False,False,,,,,,,2,0,19,Llenando ventana
20,1,ACO,poblacional,1439.572988502981,1456.167127083947,False,False,,,,,,,3,0,20,Llenando ventana
21,1,ACO,poblacional,1439.572988502981,1609.853889144089,False,False,,,,,,,4,0,21,Llenando ventana
22,1,ACO,poblacional,1276.9554146838047,1276.9554146838047,False,False,,,,,,,0,0,22,Llenando ventana
23,1,ACO,poblacional,1276.9554146838047,1313.629048554319,False,False,,,,,,,1,0,23,Llenando ventana
24,1,ACO,poblacional,1276.9554146838047,1359.5169460410477,False,False,,,,,,,2,0,24,Llenando ventana
25,1,ACO,poblacional,1276.9554146838047,1571.045183987219,False,False,,,,,,,3,0,25,Llenando ventana
26,1,ACO,poblacional,1276.9554146838047,1337.1997814485424,False,False,,,,,,,4,0,26,Llenando ventana
27,1,ACO,poblacional,1158.1558817514087,1158.1558817514087,False,False,,,,,,,0,0,27,Llenando ventana
28,1,ACO,poblacional,1158.1558817514087,1176.9200758766137,False,False,,,,,,,1,0,28,Llenando ventana
29,1,ACO,poblacional,1139.9862310987305,1139.9862310987305,False,False,,,,,,,0,0,29,Llenando ventana
30,1,ACO,poblacional,1139.9862310987305,1198.8491439440609,False,False,,,,,,,1,0,30,Llenando ventana
31,1,ACO,poblacional,1139.9862310987305,1255.868806821404,False,False,,,,,,,2,0,31,Llenando ventana
32,1,ACO,poblacional,1139.9862310987305,1349.6722873406497,False,False,,,,,,,3,0,32,Llenando ventana
33,1,ACO,poblacional,1139.9862310987305,1166.9718087147332,False,False,,,,,,,4,0,33,Llenando ventana
34,1,ACO,poblacional,1139.9862310987305,1220.3725271911196,False,False,,,,,,,5,0,34,Llenando ventana
35,1,ACO,poblacional,1030.4559338780134,1030.4559338780134,False,False,,,,,,,0,0,35,Llenando ventana
36,1,ACO,poblacional,1030.4559338780134,1133.262455335638,False,False,,,,,,,1,0,36,Llenando ventana
37,1,ACO,poblacional,1030.4559338780134,1104.3653320617518,False,False,,,,,,,2,0,37,Llenando ventana
38,1,ACO,poblacional,997.6272118255431,997.6272118255431,False,False,,,,,,,0,0,38,Llenando ventana
