Funcion            : CEC 4 (F4_NonContinuous_Rastrigin) (Mejor Run #09)
Dimension          : 10
Limites            : [-100.0, 100.0]
Optimo conocido    : 800.000000
Mejor valor global : 809.000000
Total switches     : 20

1. GWO (poblacional) | mejor=818.477643 | 0.0s-0.0s | iters=47
2. ACO (poblacional) | mejor=818.477643 | 0.0s-0.1s | iters=41
3. PSO (poblacional) | mejor=809.000000 | 0.1s-0.3s | iters=239
4. ACO (poblacional) | mejor=809.000000 | 0.3s-0.3s | iters=41
5. GWO (poblacional) | mejor=809.000000 | 0.3s-0.3s | iters=41
6. EHO (poblacional) | mejor=809.000000 | 0.3s-0.4s | iters=41
7. WOA (poblacional) | mejor=809.000000 | 0.4s-0.4s | iters=41
8. GWO (poblacional) | mejor=809.000000 | 0.4s-0.4s | iters=41
9. EHO (poblacional) | mejor=809.000000 | 0.4s-0.4s | iters=41
10. ACO (poblacional) | mejor=809.000000 | 0.4s-0.5s | iters=41
11. ACO (poblacional) | mejor=809.000000 | 0.5s-0.5s | iters=41
12. PSO (poblacional) | mejor=809.000000 | 0.5s-0.5s | iters=41
13. PSO (poblacional) | mejor=809.000000 | 0.5s-0.6s | iters=41
14. PSO (poblacional) | mejor=809.000000 | 0.6s-0.6s | iters=41
15. ACO (poblacional) | mejor=809.000000 | 0.6s-0.6s | iters=41
16. EHO (poblacional) | mejor=809.000000 | 0.6s-0.6s | iters=41
17. WOA (poblacional) | mejor=809.000000 | 0.6s-0.7s | iters=41
18. GWO (poblacional) | mejor=809.000000 | 0.7s-0.7s | iters=41
19. EHO (poblacional) | mejor=809.000000 | 0.7s-0.7s | iters=41
20. EHO (poblacional) | mejor=809.000000 | 0.7s-0.8s | iters=41
